BedroomAbvGr,KitchenAbvGr,OverallCond,SalePrice,RoofSurface,GrLivArea,GarageFinish_Fin,GarageFinish_No Garage,GarageFinish_RFn,GarageFinish_Unf,CentralAir,sin_MoSold,cos_MoSold
0.375,0.3333333333333333,0.5,208500,0.31672911615605026,0.38006952491309387,0.0,0.0,1.0,0.0,1,0.49999999999999994,0.8660254037844387
0.375,0.3333333333333333,0.875,181500,0.06964954815957683,-0.3120896098879876,0.0,0.0,1.0,0.0,1,0.8660254037844388,-0.4999999999999998
0.375,0.3333333333333333,0.5,223500,0.2281243112188671,0.4974893781382773,0.0,0.0,1.0,0.0,1,-0.8660254037844384,-0.5000000000000004
0.375,0.3333333333333333,0.5,140000,0.4425832047608552,0.39088451139436076,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387
0.5,0.3333333333333333,0.5,250000,0.566894423627948,1.134028582464272,0.0,0.0,1.0,0.0,1,-0.5000000000000004,0.8660254037844384
0.125,0.3333333333333333,0.5,143000,0.10976416134009259,-0.15758980301274622,0.0,0.0,0.0,1.0,1,-1.0,-1.8369701987210297e-16
0.375,0.3333333333333333,0.5,307000,0.5175225920211594,0.3553495558130552,0.0,0.0,1.0,0.0,1,-0.4999999999999998,-0.8660254037844388
0.375,0.3333333333333333,0.625,200000,0.7897288957460877,0.9671687910390112,0.0,0.0,1.0,0.0,1,-0.866025403784439,0.4999999999999993
0.25,0.6666666666666666,0.5,129900,0.19087502755124533,0.47894940131324837,0.0,0.0,0.0,1.0,1,1.0,6.123233995736766e-17
0.25,0.6666666666666666,0.625,118000,0.3713907868635663,-0.5979142526071842,0.0,0.0,1.0,0.0,1,0.0,1.0
0.375,0.3333333333333333,0.5,129500,0.5175225920211594,-2.263422170722287,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387
0.5,0.3333333333333333,0.5,345000,0.5858496804055543,1.3286983391270761,1.0,0.0,0.0,0.0,1,1.2246467991473532e-16,-1.0
0.25,0.3333333333333333,0.625,144000,0.5023143046065682,-0.8528389339513326,0.0,0.0,0.0,1.0,1,-0.8660254037844384,-0.5000000000000004
0.375,0.3333333333333333,0.5,279500,0.7522592021159357,0.046349942062572425,0.0,0.0,1.0,0.0,1,-0.4999999999999998,-0.8660254037844388
0.25,0.3333333333333333,0.5,157000,0.6687238263169495,-0.3259945925067594,0.0,0.0,1.0,0.0,1,0.8660254037844388,-0.4999999999999998
0.25,0.3333333333333333,0.875,132000,0.18955256777606347,-0.9424488219389726,0.0,0.0,0.0,1.0,1,1.2246467991473532e-16,-1.0
0.25,0.3333333333333333,0.75,149000,0.8379986775402248,-0.7106991116261104,1.0,0.0,0.0,0.0,1,0.8660254037844386,0.5000000000000001
0.25,0.6666666666666666,0.5,90000,0.9180074939387259,-0.25955967555040554,0.0,0.0,0.0,1.0,1,-1.0,-1.8369701987210297e-16
0.375,0.3333333333333333,0.5,159000,0.5276614502975534,-0.540749324063345,0.0,0.0,0.0,1.0,1,0.5000000000000003,-0.8660254037844385
0.375,0.3333333333333333,0.625,139000,0.7617368305047388,-0.19312475859405176,0.0,0.0,0.0,1.0,1,0.8660254037844388,-0.4999999999999998
0.5,0.3333333333333333,0.5,325300,0.007053118800969815,1.4090382387022016,0.0,0.0,1.0,0.0,1,-0.866025403784439,0.4999999999999993
0.375,0.3333333333333333,0.75,139400,0.9001542869737713,-0.5500193124758594,0.0,0.0,0.0,1.0,1,0.5000000000000003,-0.8660254037844385
0.375,0.3333333333333333,0.5,230000,0.591359929468812,0.511394360757049,0.0,0.0,1.0,0.0,1,-0.8660254037844384,-0.5000000000000004
0.375,0.3333333333333333,0.75,129900,0.19925060612739695,-0.6241792197759752,0.0,0.0,0.0,1.0,1,0.5000000000000003,-0.8660254037844385
0.375,0.3333333333333333,0.875,154000,0.6577033281904342,-0.6241792197759752,0.0,0.0,0.0,1.0,1,0.8660254037844388,-0.4999999999999998
0.375,0.3333333333333333,0.5,256300,0.943134229667181,0.21011973735032832,0.0,0.0,1.0,0.0,1,1.2246467991473532e-16,-1.0
0.375,0.3333333333333333,0.75,134800,0.19285871721401807,-0.8713789107763615,0.0,0.0,0.0,1.0,1,0.8660254037844388,-0.4999999999999998
0.375,0.3333333333333333,0.5,306000,0.2777165527881861,0.3707995365005794,0.0,0.0,1.0,0.0,1,0.8660254037844388,-0.4999999999999998
0.25,0.3333333333333333,0.625,207500,0.05774741018294027,0.21011973735032832,0.0,0.0,1.0,0.0,1,-0.5000000000000004,0.8660254037844384
0.125,0.3333333333333333,0.625,68500,0.3125413268679744,-1.4584781769022788,0.0,0.0,0.0,1.0,0,0.8660254037844388,-0.4999999999999998
0.375,0.3333333333333333,0.375,40000,0.5699801631033723,-0.22711471610660486,0.0,0.0,0.0,1.0,0,1.2246467991473532e-16,-1.0
0.375,0.3333333333333333,0.625,149350,0.4269340974212035,-0.3646195442255697,0.0,0.0,0.0,1.0,1,0.5000000000000003,-0.8660254037844385
0.375,0.3333333333333333,0.5,179900,0.3773418558518845,-0.3553495558130552,0.0,0.0,1.0,0.0,1,0.0,1.0
0.5,0.3333333333333333,0.5,165500,0.9299096319153626,0.3646195442255697,0.0,0.0,1.0,0.0,1,1.0,6.123233995736766e-17
0.25,0.3333333333333333,0.5,277500,0.730218205862905,0.14986481266898416,1.0,0.0,0.0,0.0,1,-0.4999999999999998,-0.8660254037844388
0.5,0.3333333333333333,0.5,309000,0.3467048710601719,1.5264580919273851,1.0,0.0,0.0,0.0,1,-0.8660254037844384,-0.5000000000000004
0.375,0.3333333333333333,0.5,145000,0.346043641172581,-0.567014291232136,0.0,0.0,0.0,1.0,1,0.5000000000000003,-0.8660254037844385
